"Intersection","Gene","Gene_Function"
"Wounded_4h vs Wounded_0h","pdam_00009534","cwf19l2: CWF19-like protein 2 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00009579","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009550","sap30l: Histone deacetylase complex subunit SAP30L (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00023506","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00022114","Stxbp1: Syntaxin-binding protein 1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00001947","Mettl25: Methyltransferase-like protein 25 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00001983","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024108","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024107","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00023410","ACX1: Peroxisomal acyl-coenzyme A oxidase 1 (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00021781","PDE6D: Retinal rod rhodopsin-sensitive cGMP 3'%2C5'-cyclic phosphodiesterase subunit delta (Canis lupus familiaris)"
"Wounded_4h vs Wounded_0h","pdam_00008876","eomes: Eomesodermin (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00008877","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008912","ca2: Carbonic anhydrase 2 (Tribolodon hakonensis)"
"Wounded_4h vs Wounded_0h","pdam_00007557","Cht3: Probable chitinase 3 (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00021135","Trpm6: Transient receptor potential cation channel subfamily M member 6 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00025555","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008828","taf1b: TATA box-binding protein-associated factor RNA polymerase I subunit B (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00008853","CTSC: Dipeptidyl peptidase 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00020633","tctex1d1-a: Tctex1 domain-containing protein 1-A (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00020631","zyg11: Protein zyg-11 homolog (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00008709","Tpp1: Tripeptidyl-peptidase 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00008675","Spase22-23: Signal peptidase complex subunit 3 (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00008721","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008724","GNS: N-acetylglucosamine-6-sulfatase (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00008680","nphp3: Nephrocystin-3 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00008304","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007192","Kcnk3: Potassium channel subfamily K member 3 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00005993","speg: Striated muscle preferentially expressed protein kinase (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00005975","elp5: Elongator complex protein 5 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00011166","jagn1: Protein jagunal homolog 1 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00011165","Son: Protein SON (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007239","grrA: SCF E3 ubiquitin ligase complex F-box protein grrA (Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139))"
"Wounded_4h vs Wounded_0h","pdam_00007265","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012766","glra1: Glycine receptor subunit alphaZ1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00012776","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012769","XAB2: Pre-mRNA-splicing factor SYF1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022298","Snx6: Sorting nexin-6 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00022295","TTLL12: Tubulin--tyrosine ligase-like protein 12 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00013134","Cntn3: Contactin-3 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013128","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013095","Lrrc27: Leucine-rich repeat-containing protein 27 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00013106","NAA40: N-alpha-acetyltransferase 40 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00022054","Gamma-butyrobetaine dioxygenase (Pseudomonas sp. (strain AK-1))"
"Wounded_4h vs Wounded_0h","pdam_00002278","ANKRD63: Ankyrin repeat domain-containing protein 63 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002262","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002224","ABCD3: ATP-binding cassette sub-family D member 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002219","Col1a2: Collagen alpha-2(I) chain (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00002215","PSME3: Proteasome activator complex subunit 3 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00018076","FGFR: Fibroblast growth factor receptor (Strongylocentrotus purpuratus)"
"Wounded_4h vs Wounded_0h","pdam_00014288","NPC2: Epididymal secretory protein E1 (Pan troglodytes)"
"Wounded_4h vs Wounded_0h","pdam_00022399","Babam1: BRISC and BRCA1-A complex member 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00022405","SREK1: Splicing regulatory glutamine/lysine-rich protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012504","GABBR1: Gamma-aminobutyric acid type B receptor subunit 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010557","Carnmt1: Carnosine N-methyltransferase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010518","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010542","Enpep: Glutamyl aminopeptidase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010533","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00016616","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018900","Fbxo31: F-box only protein 31 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00004859","OXSM: 3-oxoacyl-[acyl-carrier-protein] synthase%2C mitochondrial (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00011297","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012575","nell2: Protein kinase C-binding protein NELL2 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00012602","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018375","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00018372","SCARB1: Scavenger receptor class B member 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024539","Nbn: Nibrin (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00016598","TP73: Tumor protein p73 (Chlorocebus aethiops)"
"Wounded_4h vs Wounded_0h","pdam_00013344","MXAN_0863: UPF0061 protein MXAN_0863 (Myxococcus xanthus (strain DK 1622))"
"Wounded_4h vs Wounded_0h","pdam_00021066","Slc26a6: Solute carrier family 26 member 6 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00019683","HS1BP3: HCLS1-binding protein 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00024958","GPSM2: G-protein-signaling modulator 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017527","C21orf59: UPF0769 protein C21orf59 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017311","Dcp2: m7GpppN-mRNA hydrolase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00017292","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00001370","SSUH2: Protein SSUH2 homolog (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00001390","v1g226489: Ragulator complex protein LAMTOR5 homolog (Nematostella vectensis)"
"Wounded_4h vs Wounded_0h","pdam_00001412","SULT1B1: Sulfotransferase family cytosolic 1B member 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00001432","CPA2: Carboxypeptidase A2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00001456","Manf: Mesencephalic astrocyte-derived neurotrophic factor homolog (Drosophila grimshawi)"
"Wounded_4h vs Wounded_0h","pdam_00012490","Snrnp27: U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00012492","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013265","TSPAN9: Tetraspanin-9 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00013258","SPEF2: Sperm flagellar protein 2 (Sus scrofa)"
"Wounded_4h vs Wounded_0h","pdam_00016506","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00011764","ZNF143: Zinc finger protein 143 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005282","Kalrn: Kalirin (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00009344","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009329","Ints1: Integrator complex subunit 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00009321","flw: Serine/threonine-protein phosphatase beta isoform (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00016781","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00016793","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006440","SSBP1: Single-stranded DNA-binding protein%2C mitochondrial (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00002594","CAMSAP1: Calmodulin-regulated spectrin-associated protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002608","WDFY3: WD repeat and FYVE domain-containing protein 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002624","Rims2: Regulating synaptic membrane exocytosis protein 2 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00002623","Adcy3: Adenylate cyclase type 3 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00002651","ECHDC3: Enoyl-CoA hydratase domain-containing protein 3%2C mitochondrial (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002687","Smchd1: Structural maintenance of chromosomes flexible hinge domain-containing protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00002653","KCNQ5: Potassium voltage-gated channel subfamily KQT member 5 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002685","EFHC1: EF-hand domain-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00012958","trip12: E3 ubiquitin-protein ligase TRIP12 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00012938","smc4: Structural maintenance of chromosomes protein 4 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00022550","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018568","NUDT8: Nudix hydrolase 8 (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00018567","Sbno1: Protein strawberry notch homolog 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00019991","CD163: Scavenger receptor cysteine-rich type 1 protein M130 (Canis lupus familiaris)"
"Wounded_4h vs Wounded_0h","pdam_00003066","sdf4: 45 kDa calcium-binding protein (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00003082","Copb2: Coatomer subunit beta' (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00003122","GOLIM4: Golgi integral membrane protein 4 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010332","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010297","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005727","Ntn1: Netrin-1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00005719","LCMT1: Leucine carboxyl methyltransferase 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00025815","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00022954","GSTM3: Glutathione S-transferase Mu 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00020885","CLIC1: Chloride intracellular channel protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00006262","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006271","slc46a1: Proton-coupled folate transporter (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00006245","Orct: Organic cation transporter protein (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00011033","bdh2: 3-hydroxybutyrate dehydrogenase type 2 (Lithobates catesbeiana)"
"Wounded_4h vs Wounded_0h","pdam_00007750","ERICH3: Glutamate-rich protein 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00007730","bop1-b: Ribosome biogenesis protein bop1-B (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00007708","jub: LIM domain-containing protein jub (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00012236","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012218","Adamts15: A disintegrin and metalloproteinase with thrombospondin motifs 15 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00014232","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013531","HECTD1: E3 ubiquitin-protein ligase HECTD1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00013529","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00013537","bmi1b: Polycomb complex protein BMI-1-B (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00017971","SLC9A3R2: Na(+)/H(+) exchange regulatory cofactor NHE-RF2 (Oryctolagus cuniculus)"
"Wounded_4h vs Wounded_0h","pdam_00021033","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002985","zic4: Zinc finger protein ZIC 4 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00003015","ube2ia: SUMO-conjugating enzyme UBC9-A (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00003040","LRRC14: Leucine-rich repeat-containing protein 14 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002991","notch1: Neurogenic locus notch homolog protein 1 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00020831","Zfp26: Zinc finger protein 26 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020856","LEPROTL1: Leptin receptor overlapping transcript-like 1 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00020557","RCHY1: RING finger and CHY zinc finger domain-containing protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016074","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00008622","PEO1: Twinkle protein%2C mitochondrial (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00008603","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024005","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004134","hmu: Halomucin (Haloquadratum walsbyi (strain DSM 16790 / HBSQ001))"
"Wounded_4h vs Wounded_0h","pdam_00024495","COL1A2: Collagen alpha-2(I) chain (Fragment) (Oryctolagus cuniculus)"
"Wounded_4h vs Wounded_0h","pdam_00021552","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015929","Hephaestin-like protein (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00021503","Hlx: H2.0-like homeobox protein (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00021709","TTC28: Tetratricopeptide repeat protein 28 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00000926","MGAT4C: Alpha-1%2C3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00000968","TUBB4B: Tubulin beta-4B chain (Fragments) (Mesocricetus auratus)"
"Wounded_4h vs Wounded_0h","pdam_00000980","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00001026","NUDT3: Diphosphoinositol polyphosphate phosphohydrolase 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00014330","DNAJB9: DnaJ homolog subfamily B member 9 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00014314","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005558","SPG20: Spartin (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00005566","CTRC: Chymotrypsin-C (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00005604","gtdc1: Glycosyltransferase-like domain-containing protein 1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00005565","Trypsin-1 (Astacus astacus)"
"Wounded_4h vs Wounded_0h","pdam_00005578","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00010826","SPAC25B8.10: Uncharacterized methyltransferase-like C25B8.10 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))"
"Wounded_4h vs Wounded_0h","pdam_00010849","ALX4: Homeobox protein aristaless-like 4 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00010824","Smyd4: SET and MYND domain-containing protein 4 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00005117","ATF7IP: Activating transcription factor 7-interacting protein 1 (Gallus gallus)"
"Wounded_4h vs Wounded_0h","pdam_00005129","ADRB1: Beta-1 adrenergic receptor (Meleagris gallopavo)"
"Wounded_4h vs Wounded_0h","pdam_00005168","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018199","WDR97: WD repeat-containing protein 97 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004440","ORC4: Origin recognition complex subunit 4 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00018250","Rnaseh2c: Ribonuclease H2 subunit C (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00011995","HECTD1: E3 ubiquitin-protein ligase HECTD1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010615","CCNT1: Cyclin-T1 (Equus caballus)"
"Wounded_4h vs Wounded_0h","pdam_00022885","Mlc-c: Myosin-2 essential light chain (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00007349","SH3BGRL3: SH3 domain-binding glutamic acid-rich-like protein 3 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00007321","Atp5o: ATP synthase subunit O%2C mitochondrial (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00007314","tmem135: Transmembrane protein 135 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00015822","PRKD3: Serine/threonine-protein kinase D3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005882","col27a1b: Collagen alpha-1(XXVII) chain B (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00005907","CDC16: Cell division cycle protein 16 homolog (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00005912","coa7-b: Cytochrome c oxidase assembly factor 7B (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00005923","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005891","CG7708: High-affinity choline transporter 1 (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00005892","Slc5a7: High affinity choline transporter 1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00005920","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020686","DDB_G0281931: Putative leucine-rich repeat-containing protein DDB_G0281931 (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00012811","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012810","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012807","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005209","PPP1R7: Protein phosphatase 1 regulatory subunit 7 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002461","Adamts16: A disintegrin and metalloproteinase with thrombospondin motifs 16 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00002572","tll1: Tolloid-like protein 1 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00002565","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00002567","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004357","tmem223: Transmembrane protein 223 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00004340","foxred1: FAD-dependent oxidoreductase domain-containing protein 1 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00004402","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004417","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00005003","tmem53: Transmembrane protein 53 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00004985","sox8: Transcription factor Sox-8 (Tetraodon nigroviridis)"
"Wounded_4h vs Wounded_0h","pdam_00004974","CHST3: Carbohydrate sulfotransferase 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017776","CP33: RNA-binding protein CP33%2C chloroplastic (Arabidopsis thaliana)"
"Wounded_4h vs Wounded_0h","pdam_00017780","MFSD12: Major facilitator superfamily domain-containing protein 12 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017759","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00024291","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00020926","RAB23: Ras-related protein Rab-23 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00016402","lat-2: Latrophilin-like protein LAT-2 (Caenorhabditis elegans)"
"Wounded_4h vs Wounded_0h","pdam_00015369","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015385","CDKN3: Cyclin-dependent kinase inhibitor 3 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015379","Atg2b: Autophagy-related protein 2 homolog B (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00025488","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00006697","ALG8: Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1%2C3-glucosyltransferase (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00006727","PGAP2: Post-GPI attachment to proteins factor 2 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00007817","Uncharacterized skeletal organic matrix protein 5 (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00007814","GEMIN4: Gem-associated protein 4 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00019095","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00015438","SEC31A: Protein transport protein Sec31A (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00015426","macrod2: O-acetyl-ADP-ribose deacetylase MACROD2 (Xenopus laevis)"
"Wounded_4h vs Wounded_0h","pdam_00017165","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00019824","POLR3H: DNA-directed RNA polymerase III subunit RPC8 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00019448","TMC7: Transmembrane channel-like protein 7 (Macaca fascicularis)"
"Wounded_4h vs Wounded_0h","pdam_00022714","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007016","aldh9a1a: Aldehyde dehydrogenase family 9 member A1-A (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00007012","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00007010","Os04g0576800: Polyprenol reductase 1 (Oryza sativa subsp. japonica)"
"Wounded_4h vs Wounded_0h","pdam_00020962","Proser1: Proline and serine-rich protein 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00011349","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00009485","Itfg2: Integrin-alpha FG-GAP repeat-containing protein 2 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00009451","pan: Protein pangolin%2C isoforms A/H/I/S (Drosophila melanogaster)"
"Wounded_4h vs Wounded_0h","pdam_00009480","adrm1b: Proteasomal ubiquitin receptor ADRM1 (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00002400","C20orf96: Uncharacterized protein C20orf96 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00002431","mtbp: Mdm2-binding protein (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00002427","SEPT7: Septin-7 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00002437","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00018106","Znf318: Zinc finger protein 318 (Fragment) (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020200","Minpp1: Multiple inositol polyphosphate phosphatase 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00011702","Gpr157: Probable G-protein coupled receptor 157 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00011690","fgfr1a: Fibroblast growth factor receptor 1-A (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00021355","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00012451","Fibronectin type III domain-containing protein (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00012452","Fibronectin type III domain-containing protein (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00009230","Ola1: Obg-like ATPase 1 (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00009242","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00004502","ABTB2: Ankyrin repeat and BTB/POZ domain-containing protein 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00004483","Arhgef39: Rho guanine nucleotide exchange factor 39 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00004509","emc6: ER membrane protein complex subunit 6 (Xenopus tropicalis)"
"Wounded_4h vs Wounded_0h","pdam_00004508","Protein C12orf4 homolog (Rattus norvegicus)"
"Wounded_4h vs Wounded_0h","pdam_00004554","Tyms: Thymidylate synthase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00016454","LPCAT3: Lysophospholipid acyltransferase 5 (Bos taurus)"
"Wounded_4h vs Wounded_0h","pdam_00024013","TLL1: Tolloid-like protein 1 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00017438","Map3k1: Mitogen-activated protein kinase kinase kinase 1 (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00020384","FAR1: Fatty acyl-CoA reductase 1 (Pongo abelii)"
"Wounded_4h vs Wounded_0h","pdam_00020381","pats1: Probable serine/threonine-protein kinase pats1 (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00025269","Ectin (Fragment) (Acropora millepora)"
"Wounded_4h vs Wounded_0h","pdam_00001074","gskip: GSK3-beta interaction protein (Danio rerio)"
"Wounded_4h vs Wounded_0h","pdam_00001156","Cubn: Cubilin (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00001159","Gaa: Lysosomal alpha-glucosidase (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00003579","CASR: Extracellular calcium-sensing receptor (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00003544","DD3-3: Protein DD3-3 (Dictyostelium discoideum)"
"Wounded_4h vs Wounded_0h","pdam_00019006","SACS: Sacsin (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00010794","Cherp: Calcium homeostasis endoplasmic reticulum protein (Mus musculus)"
"Wounded_4h vs Wounded_0h","pdam_00010793","SKP2: S-phase kinase-associated protein 2 (Homo sapiens)"
"Wounded_4h vs Wounded_0h","pdam_00019802","unknown function"
"Wounded_4h vs Wounded_0h","pdam_00025500","unknown function"
